Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1555.2909
FDW14,OUT017,1315.5356
NCN55,OUT010,713.91876
FDQ58,OUT017,2698.8628
FDY38,OUT027,6105.888
FDH56,OUT046,1846.444
FDL48,OUT018,490.54626
FDC48,OUT027,2222.721
FDN33,OUT045,1218.9232
FDA36,OUT017,2997.5952
FDT44,OUT017,1893.0186
FDQ56,OUT045,1264.1997
NCC54,OUT019,676.20636
FDU11,OUT049,2144.016
DRL59,OUT013,645.385
FDM24,OUT049,2526.3406
FDI57,OUT045,3045.808
DRC12,OUT018,2745.336
NCM42,OUT027,2742.5352
FDA46,OUT010,548.24493
FDA31,OUT013,2837.0322
NCJ31,OUT035,3746.9287
FDG52,OUT046,905.35205
NCL19,OUT019,362.3217
FDS10,OUT035,3016.7185
FDX22,OUT010,904.677
NCF19,OUT035,971.5879
NCE06,OUT046,2426.5137
DRC27,OUT046,3561.4644
FDE21,OUT035,2387.8562
NCR42,OUT019,-67.89068
FDX51,OUT018,2959.0151
NCR06,OUT018,517.34875
FDU31,OUT027,5340.3022
FDU59,OUT017,2460.0535
FDR03,OUT027,4914.987
FDS49,OUT027,2514.575
FDD48,OUT010,246.03519
NCF18,OUT017,3017.923
NCD43,OUT027,2840.8235
NCD54,OUT018,1622.9421
FDY19,OUT010,70.64076
NCY54,OUT017,2801.0916
NCL19,OUT018,2157.2808
FDP23,OUT010,673.17676
FDC26,OUT013,1802.5553
FDR14,OUT010,126.603325
NCS41,OUT035,3267.2827
FDF41,OUT035,3950.8203
FDU34,OUT046,2012.7664
DRH11,OUT046,892.60236
FDM03,OUT013,1775.5804
FDS31,OUT017,3174.4075
FDJ20,OUT017,2104.4846
FDV44,OUT027,5003.7354
FDG02,OUT049,2966.1587
FDA09,OUT013,2915.2556
FDT04,OUT013,712.27435
FDL58,OUT019,501.1959
FDE52,OUT045,1419.4429
FDW12,OUT035,2626.8066
FDL51,OUT017,3398.1892
NCY42,OUT027,3746.8906
FDR07,OUT017,2513.7275
FDN40,OUT045,2201.2004
FDB35,OUT027,2616.7046
FDA22,OUT017,2497.9553
NCL06,OUT046,4036.5735
FDI35,OUT013,3096.6506
NCW42,OUT045,3492.8704
NCX06,OUT049,3054.1975
FDC37,OUT027,3047.013
FDZ14,OUT018,1787.7616
DRG49,OUT049,4090.474
NCG06,OUT045,3586.8467
DRC36,OUT045,2817.3518
FDV21,OUT019,402.97775
FDB53,OUT046,2476.307
DRP47,OUT019,609.58954
FDA14,OUT013,2296.9333
DRC24,OUT035,2597.883
FDW21,OUT018,1351.3634
NCH29,OUT046,1696.9569
FDU58,OUT013,3343.3389
FDY27,OUT017,2746.9263
FDV56,OUT035,1550.0951
FDT59,OUT046,3907.579
FDB23,OUT046,3871.4468
FDR49,OUT045,744.98865
FDB03,OUT010,457.3144
FDN39,OUT045,2577.496
FDX02,OUT027,5574.856
FDQ16,OUT027,2953.1216
FDU35,OUT018,1499.9482
NCT29,OUT013,2002.3849
FDZ27,OUT046,842.6057
FDN57,OUT017,2041.2944
FDA03,OUT018,2131.973
FDZ36,OUT045,3405.9924
NCU05,OUT013,1120.7058
FDT39,OUT018,2013.026
FDK60,OUT017,1622.1832
FDZ25,OUT017,2960.3174
FDG12,OUT046,2304.522
DRB01,OUT019,826.4356
NCC43,OUT027,5860.0933
FDX13,OUT019,693.7918
FDM22,OUT049,950.5349
FDJ03,OUT027,1550.406
FDU14,OUT018,3593.8467
